manufacturer_id,name
1,벤츠
2,지엠아시아
3,케이알모터스
4,비엠더블유
5,한국지엠
6,기흥모터스
7,에프엠케이
8,모토로싸
9,포르쉐
10,현대자동차
11,한국모터트레이딩
12,에이엠티
13,한국닛산
14,볼보
15,스텔란티스
16,포드
17,만트럭버스
18,폭스바겐그룹
19,기아
20,비엠더블유(이륜)
21,스즈키씨엠씨
22,모토스타
23,혼다
24,볼보트럭
25,한불모터스
26,토요타
27,혼다(이륜)
28,화창상사
29,씨엑스씨
30,재규어랜드로버
31,르노코리아
32,타타대우
33,스포츠모터사이클
34,스바루
35,제이에스이엔지
36,명성정공
37,대전기계공업
38,케이지모빌리티
39,다임러트럭
40,브이엠케이
41,엠엠에스케이
42,자일대우버스
43,오토젠
44,락락모터스
45,선롱버스코리아
46,디앤에이모터스
47,스카니아
48,이베코그룹
49,진일엔지니어링
50,아이씨피
51,기흥인터내셔널
52,이탈로모토
53,에이비케이
54,미르모터스
55,오텍
56,브리타니아오토
57,한국쓰리축공업
58,바이크코리아
59,다빈월드
60,허스크바나모터싸이클
61,마이브
62,큐로모터스
63,테슬라
64,테라모터스
65,명원아이앤씨
66,범한자동차
67,피라인모터스
68,다산중공업
69,폴스타
70,한신특장
71,에이치알이앤아이
72,루트17
73,바이크원
74,더좋은사람
75,젠트로피
76,오토스원
77,마스타전기차
78,한솜바이크
79,이비온
80,비바모빌리티
81,제이스모빌리티
82,이누리
83,모빌리티네트웍스
84,GS글로벌
85,블루샤크코리아
86,노바스
87,에스에스라이트
88,케이지모빌리티커머셜
89,제이에스얼라이언스
90,한국모터스
91,바이드 코리아
92,티에스모터스
93,킹롱이브이
94,차봇모터스
95,이엠코리아
